word,pos,definition
aalug-alog,,aalug-alog adj. shaky; rickety
aam,,aam n. broth made from boiled rice
aanga-anga,,aanga-anga adj. remaining agape for some time
aapa-apa,,aapa-apa adj. groping around
aba,,aba adj. poor; humble; subservient
aba,,aba! intrj. Well; Hi!
abahin,,"abahin (inaaba, inaba, aabahin) v., inf. notify; pay attention to; take care of"
abain,,"(inaaba, inaba, aabain) v., inf. look down upon; scorn"
abain,,"abain (inaaba, inaba, aabain) v., inf. mistreat; treat badly"
abaka,,abaka n. abaka hemp
abakada,,n. alphabet
abakadahin,,"(inaabakada, inabakada, aabakadahin) v., inf. arrange in alphabetical order"
abako,,abako n. counting instrument
abala,,abala adj. 1. occupied; busy; engaged; 2. absorbed; engrossed; obsessed
abala,,n. 1. inconvenience; bother; trouble; 2. interruption; disturbance
abala,,n. trouble; disturbance
abalahin,,"(inaabala, inabala, aabalahin) v., inf. bother or worry someone"
abalang-abala,,abalang-abala adj. occupied; busy
abaloryo,,"n. decorative glass bead; bead works on a dress, handbag, etc."
abanderado,,n. flag-bearer; standard-bearer
abandonada,,adj. negligent
abandonado-do,,adj. abandoned; neglected
abang,,abang n. watcher
abang-aba,,abang-aba adj. very miserable; wretched
abangan,,"abangan (inaabangan, inabangan, aabangan) v., inf. wait for; stay hidden, ready to attack; ambush"
abangan,,abangan n. place where you wait; place where ambushers wait for the victim
abaniko,,n. folding fan
abanikuhan,,"(inaabanikuhan, inabanikuhan, aabanikuhan) v., inf. fan (e.g. oneself)"
abanikuhin,,"(inaabaniko, inabaniko, aabanikuhin) v., inf. use as a fan"
abano,,n. cigar (tobacco)
abante,,n. lead (in a game)
Abante!,,intrj. Go ahead! Proceed!
abasto,,n. baggage
abat,,abat n. ambush; snare
abatan,,"abatan (inaabatan, inabatan, aabatan) v., inf. waylay or ambush someone"
abatan,,abatan n. place where ambushers wait for the victim
abay,,abay adj. lying or sitting close to each other
abay,,n. 1. best man at a wedding; maid of honour; 2. escort; attendant
abay (mga -),,"n., pl. retinue; group of attendants"
abay na babae,,n. bridesmaid
abay na lalaki,,n. best man
